Date,Australian dollar(AUD),Canadian dollar(CAD),Chinese yuan(CNY),Euro(EUR),Indian rupee(INR),Japanese yen(JPY),U.K. pound(GBP)
01-Aug-2014,0.9294,1.0919,6.1681,1.3395,60.851,102.9,1.6836
04-Aug-2014,0.9294,1.0919,6.1661,1.3422,61.0187,102.66,1.6818
05-Aug-2014,0.9342,1.097,6.1655,1.3382,60.869,102.59,1.6871
06-Aug-2014,0.9306,1.0926,6.1681,1.3345,61.336,102.6,1.683
07-Aug-2014,0.9268,1.0922,6.167,1.3368,61.4123,102.16,1.6864
08-Aug-2014,0.9246,1.0982,6.1562,1.3388,61.5575,102.09,1.6805
11-Aug-2014,0.928,1.0935,6.1522,1.3386,61.1165,102.13,1.6782
12-Aug-2014,0.9256,1.0944,6.1517,1.3346,61.1847,102.3,1.6779
13-Aug-2014,0.9298,1.0929,6.1533,1.336,61.2458,102.29,1.6715
14-Aug-2014,0.9297,1.0911,6.1545,1.3373,61.0583,102.6,1.6683
15-Aug-2014,0.9332,1.091,6.1538,1.3388,61.0583,102.5,1.6691
18-Aug-2014,0.9326,1.0889,6.1528,1.3383,61.0583,102.32,1.6725
19-Aug-2014,0.9338,1.0929,6.1548,1.3354,60.726,102.62,1.6647
20-Aug-2014,0.928,1.0944,6.158,1.3284,60.669,102.95,1.664
21-Aug-2014,0.9254,1.0948,6.1632,1.3262,60.767,103.87,1.6588
22-Aug-2014,0.9326,1.095,6.1617,1.3267,60.436,103.95,1.6573
25-Aug-2014,0.9321,1.098,6.1653,1.32,60.427,104.18,1.6583
26-Aug-2014,0.9293,1.0951,6.1663,1.3192,60.496,103.89,1.6572
27-Aug-2014,0.9319,1.0891,6.1658,1.3177,60.4678,104.04,1.6579
28-Aug-2014,0.9353,1.0857,6.1638,1.3178,60.4745,103.75,1.658
29-Aug-2014,0.9349,1.0858,6.1647,1.3188,60.4745,103.71,1.6592
02-Sep-2014,0.9293,1.0925,6.1684,1.3115,60.61,104.39,1.6536
03-Sep-2014,0.929,1.0873,6.1697,1.3151,60.5445,105.2,1.6465
04-Sep-2014,0.934,1.0863,6.1666,1.3015,60.454,104.92,1.6451
05-Sep-2014,0.9341,1.089,6.1707,1.2948,60.4385,105.56,1.6312
08-Sep-2014,0.9365,1.0933,6.1707,1.2947,60.2628,105.11,1.6121
09-Sep-2014,0.9266,1.1012,6.152,1.2902,60.4277,106.06,1.613
10-Sep-2014,0.9158,1.0955,6.1425,1.2929,60.8256,106.49,1.6126
11-Sep-2014,0.9176,1.1032,6.1453,1.2928,60.9155,106.77,1.6241
12-Sep-2014,0.906,1.1076,6.1468,1.2931,60.84,107.23,1.624
15-Sep-2014,0.8996,1.1051,6.1452,1.2911,60.9945,107.23,1.6246
16-Sep-2014,0.9007,1.099,6.1462,1.2949,61.1015,107.16,1.6192
17-Sep-2014,0.9069,1.0952,6.145,1.2956,60.954,107.25,1.6307
18-Sep-2014,0.8968,1.0946,6.149,1.2872,61.0558,108.55,1.6335
19-Sep-2014,0.8966,1.0969,6.1455,1.2852,60.8055,108.85,1.6387
22-Sep-2014,0.891,1.1008,6.1485,1.2845,60.7875,108.97,1.6326
23-Sep-2014,0.8916,1.106,6.147,1.2892,60.8708,108.97,1.6385
24-Sep-2014,0.8876,1.109,6.1462,1.2826,61.0293,108.65,1.6407
25-Sep-2014,0.882,1.1106,6.1497,1.2712,61.0245,109.25,1.6303
26-Sep-2014,0.8757,1.1164,6.1508,1.2732,61.572,108.53,1.6318
29-Sep-2014,0.8757,1.1145,6.1539,1.2701,61.4273,109.33,1.6231
30-Sep-2014,0.8752,1.1208,6.1525,1.2583,61.6135,109.37,1.618
01-Oct-2014,0.8693,1.1171,6.1525,1.2603,61.7511,109.9,1.619
02-Oct-2014,0.8813,1.1151,6.1525,1.2631,61.7511,109.07,1.6148
03-Oct-2014,0.879,1.1256,6.1525,1.2616,61.7511,108.75,1.607
06-Oct-2014,0.879,1.1175,6.1525,1.2565,61.7511,109.68,1.5984
07-Oct-2014,0.876,1.1182,6.1525,1.2607,61.3595,108.94,1.6063
08-Oct-2014,0.8769,1.1182,6.1493,1.2645,61.4648,108.25,1.6077
09-Oct-2014,0.8883,1.1149,6.1461,1.2763,61.0368,108.28,1.6214
10-Oct-2014,0.8772,1.1177,6.147,1.2638,61.1624,107.82,1.6057
14-Oct-2014,0.8796,1.1236,6.1408,1.2646,61.1078,107.2,1.595
15-Oct-2014,0.8721,1.1289,6.1455,1.2666,61.1078,107.28,1.5919
16-Oct-2014,0.8788,1.1266,6.1395,1.2749,61.4795,106.0,1.5985
17-Oct-2014,0.875,1.1248,6.1407,1.2823,61.6165,106.37,1.6104
20-Oct-2014,0.8774,1.1277,6.1435,1.2773,61.2873,107.12,1.6123
21-Oct-2014,0.8819,1.1219,6.141,1.2762,61.2967,106.83,1.6147
22-Oct-2014,0.8791,1.1219,6.1437,1.2693,61.2355,107.03,1.6053
23-Oct-2014,0.8763,1.1237,6.1459,1.2669,61.2355,107.18,1.6007
24-Oct-2014,0.8758,1.1213,6.1467,1.2659,61.2355,108.0,1.604
27-Oct-2014,0.8817,1.1247,6.1446,1.2679,61.229,108.0,1.6095
28-Oct-2014,0.8817,1.1178,6.1421,1.2748,61.3524,107.95,1.6114
29-Oct-2014,0.8868,1.1136,6.1405,1.2737,61.3175,108.13,1.6116
30-Oct-2014,0.8768,1.1193,6.1457,1.2598,61.4636,109.0,1.5986
31-Oct-2014,0.8805,1.1275,6.1461,1.2524,61.408,110.57,1.6004
03-Nov-2014,0.8736,1.132,6.1525,1.2493,61.4118,110.57,1.6001
04-Nov-2014,0.8721,1.1397,6.1543,1.2514,61.4118,113.6,1.5999
05-Nov-2014,0.8733,1.1377,6.1503,1.248,61.387,113.7,1.589
06-Nov-2014,0.8608,1.1424,6.1565,1.2517,61.387,114.69,1.5955
07-Nov-2014,0.8544,1.136,6.1602,1.2393,61.5205,115.15,1.583
10-Nov-2014,0.8671,1.1345,6.1377,1.2486,61.4513,114.17,1.59
11-Nov-2014,0.8622,1.1345,6.1413,1.2424,61.55,114.76,1.5866
12-Nov-2014,0.8675,1.1284,6.1428,1.2467,61.4785,115.8,1.5841
13-Nov-2014,0.8701,1.135,6.1418,1.2456,61.556,115.55,1.5753
14-Nov-2014,0.8691,1.1294,6.1399,1.2436,61.6475,116.13,1.5655
17-Nov-2014,0.8788,1.1308,6.1409,1.2496,61.678,116.99,1.5642
18-Nov-2014,0.8721,1.1305,6.143,1.2514,61.808,116.6,1.5668
19-Nov-2014,0.8665,1.135,6.1397,1.2535,61.828,117.1,1.5684
20-Nov-2014,0.8593,1.1312,6.1417,1.2539,62.1044,118.2,1.5688
21-Nov-2014,0.8633,1.1238,6.1387,1.2422,61.8505,118.09,1.5664
24-Nov-2014,0.8687,1.1282,6.142,1.241,61.7798,118.09,1.5689
25-Nov-2014,0.8593,1.1261,6.139,1.2424,61.9195,117.9,1.567
26-Nov-2014,0.8535,1.1236,6.1354,1.2475,61.8658,117.84,1.5745
01-Dec-2014,0.8453,1.1344,6.1369,1.2469,62.1377,118.89,1.5708
02-Dec-2014,0.8504,1.14,6.1325,1.2424,61.9255,118.45,1.5681
03-Dec-2014,0.8407,1.136,6.1376,1.2331,61.8866,119.34,1.5658
04-Dec-2014,0.8398,1.1373,6.1411,1.2311,61.8771,119.9,1.5679
05-Dec-2014,0.8371,1.1423,6.1373,1.2362,61.8535,119.84,1.5678
08-Dec-2014,0.8277,1.1472,6.1282,1.2258,61.9253,121.52,1.562
09-Dec-2014,0.8241,1.1422,6.1231,1.2369,61.875,120.97,1.5631
10-Dec-2014,0.8321,1.1482,6.1195,1.2392,61.95,119.5,1.5694
11-Dec-2014,0.8323,1.1535,6.1153,1.2428,62.2059,117.63,1.5685
12-Dec-2014,0.8274,1.154,6.1184,1.245,62.4422,118.88,1.5718
15-Dec-2014,0.8236,1.163,6.1152,1.2426,62.6529,118.58,1.5666
16-Dec-2014,0.8223,1.1625,6.1182,1.2537,63.4135,117.75,1.5737
17-Dec-2014,0.8158,1.1629,6.1137,1.2448,63.5813,116.91,1.5731
18-Dec-2014,0.814,1.1594,6.1195,1.2285,63.3161,118.8,1.5654
19-Dec-2014,0.8185,1.1629,6.1205,1.2279,63.067,118.98,1.5622
22-Dec-2014,0.8161,1.1643,6.122,1.2259,63.1757,119.45,1.5613
23-Dec-2014,0.8118,1.1627,6.123,1.2213,63.4475,119.45,1.5558
24-Dec-2014,0.8112,1.1623,6.1247,1.2219,63.4614,120.59,1.5543
29-Dec-2014,0.8137,1.1632,6.1205,1.2197,63.6539,120.32,1.5546
30-Dec-2014,0.813,1.1599,6.1224,1.216,63.7498,120.64,1.5535
31-Dec-2014,0.8202,1.1601,6.119,1.2141,63.3315,120.64,1.5608
05-Jan-2015,0.8061,1.1787,6.1248,1.1915,63.3888,120.29,1.5254
06-Jan-2015,0.8126,1.1804,6.1256,1.1914,63.385,119.3,1.5193
07-Jan-2015,0.8074,1.1851,6.1269,1.1831,63.4495,118.95,1.5121
08-Jan-2015,0.8108,1.1812,6.1302,1.1768,62.967,119.43,1.5062
09-Jan-2015,0.8138,1.1857,6.1296,1.1813,62.3953,119.85,1.515
12-Jan-2015,0.8244,1.193,6.1233,1.1804,62.1605,119.85,1.514
13-Jan-2015,0.8172,1.1948,6.1195,1.1782,62.1021,117.95,1.5142
14-Jan-2015,0.8099,1.1958,6.1205,1.1775,62.153,117.5,1.5192
15-Jan-2015,0.8204,1.1932,6.1193,1.1708,61.7588,117.7,1.5235
16-Jan-2015,0.8238,1.1986,6.1188,1.1588,61.8933,116.41,1.5203
20-Jan-2015,0.8175,1.2085,6.1226,1.1579,61.8475,117.88,1.5143
21-Jan-2015,0.8212,1.2374,6.1268,1.1593,61.614,117.8,1.5116
