dataset,model,iteration,mae,mse,seq_len,pred_len,percent,memory,time
Apple,CALF,1,1.0929,1.9517,96,24,100,1469.0,13.9
Apple,CALF,2,0.95558,1.5556,96,24,100,1471.1,12.8
Apple,CALF,3,1.0666,1.8747,96,24,100,1470.0,12.5
Apple,CALF,1,1.1886,2.286,96,24,10,938.4,4.9
Apple,CALF,2,1.1884,2.2814,96,24,10,939.9,5.6
Apple,CALF,3,1.2488,2.4272,96,24,10,941.4,5.4
Apple,CALF,1,1.4635,3.5048,96,24,0,,
Apple,CALF,2,1.4575,3.4606,96,24,0,,
Apple,CALF,3,1.3854,3.1231,96,24,0,,
Apple,CALF,1,1.516,3.5245,96,48,100,946.8,9.7
Apple,CALF,2,1.6602,4.2377,96,48,100,950.0,8.3
Apple,CALF,3,1.5835,3.8939,96,48,100,948.3,8.3
Apple,CALF,1,1.5961,4.1627,96,96,100,973.6,9.7
Apple,CALF,2,1.7257,4.7899,96,96,100,977.5,10.5
Apple,CALF,3,1.6637,4.5278,96,96,100,976.5,9.4
Apple,DLinear,1,0.96065,1.5728,96,24,100,16.4,2.8
Apple,DLinear,2,0.95703,1.5749,96,24,100,16.4,1.9
Apple,DLinear,3,0.96412,1.5823,96,24,100,16.4,1.9
Apple,DLinear,1,1.3018,2.8021,96,24,10,16.6,0.6
Apple,DLinear,2,1.3074,2.8332,96,24,10,16.6,0.5
Apple,DLinear,3,1.2822,2.7082,96,24,10,16.6,0.5
Apple,DLinear,1,1.4253,3.3564,96,48,100,16.5,2.7
Apple,DLinear,2,1.3912,3.2271,96,48,100,16.5,2.4
Apple,DLinear,3,1.3727,3.1385,96,48,100,16.5,2.4
Apple,DLinear,1,1.558,4.3385,96,96,100,16.9,2.6
Apple,DLinear,2,1.5627,4.3758,96,96,100,16.9,1.8
Apple,DLinear,3,1.5942,4.5588,96,96,100,16.9,1.8
Apple,iTransformer,1,1.0558,1.8441,96,24,100,17.5,3.4
Apple,iTransformer,2,1.0754,1.8833,96,24,100,17.5,3.2
Apple,iTransformer,3,1.1551,2.088,96,24,100,17.5,3.2
Apple,iTransformer,1,1.3889,3.0366,96,24,10,17.6,0.8
Apple,iTransformer,2,1.3659,2.9345,96,24,10,17.6,0.6
Apple,iTransformer,3,1.4163,3.1866,96,24,10,17.6,0.6
Apple,iTransformer,1,1.6002,4.0797,96,48,100,17.6,2.9
Apple,iTransformer,2,1.4568,3.3584,96,48,100,17.6,2.7
Apple,iTransformer,3,1.5877,4.0074,96,48,100,17.6,2.7
Apple,iTransformer,1,1.7112,4.6792,96,96,100,17.9,3.5
Apple,iTransformer,2,1.8079,5.3942,96,96,100,17.9,3.2
Apple,iTransformer,3,1.7845,5.1944,96,96,100,17.9,3.2
Apple,MICN,1,0.90948,1.508,96,24,100,22.9,3.6
Apple,MICN,2,0.90952,1.5441,96,24,100,22.9,3.4
Apple,MICN,3,0.88214,1.4173,96,24,100,22.9,3.4
Apple,MICN,1,1.2031,2.4094,96,24,10,23.2,0.8
Apple,MICN,2,1.1987,2.3988,96,24,10,23.2,0.7
Apple,MICN,3,1.1821,2.381,96,24,10,23.2,0.7
Apple,MICN,1,1.3225,3.007,96,48,100,23.3,3.3
Apple,MICN,2,1.3267,2.976,96,48,100,23.3,2.9
Apple,MICN,3,1.3076,2.8804,96,48,100,23.3,2.9
Apple,MICN,1,1.4955,3.9334,96,96,100,24.1,4.0
Apple,MICN,2,1.5369,4.1407,96,96,100,24.1,3.1
Apple,MICN,3,1.447,3.7107,96,96,100,24.1,3.5
Apple,OFA,1,0.98599,1.6703,96,24,100,349.0,5.7
Apple,OFA,2,1.0199,1.7729,96,24,100,350.1,5.6
Apple,OFA,3,1.0397,1.8152,96,24,100,349.0,5.0
Apple,OFA,1,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,2,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,3,1.2876,2.7958,96,24,10,349.1,2.0
Apple,OFA,1,1.3688,3.0916,96,24,0,,
Apple,OFA,2,1.3601,3.0608,96,24,0,,
Apple,OFA,3,1.3495,3.0015,96,24,0,,
Apple,OFA,1,1.421,3.3502,96,48,100,353.4,7.0
Apple,OFA,2,1.4711,3.7046,96,48,100,354.5,6.8
Apple,OFA,3,1.4286,3.4932,96,48,100,353.1,7.3
Apple,OFA,1,2.2095,8.7512,96,96,100,359.6,16.1
Apple,OFA,2,1.8701,6.1396,96,96,100,361.2,13.8
Apple,OFA,3,1.7907,5.8527,96,96,100,360.6,13.2
Apple,PatchTST,1,1.0249,1.8515,96,24,100,18.9,5.2
Apple,PatchTST,2,1.0571,2.0952,96,24,100,18.9,3.6
Apple,PatchTST,3,1.0861,2.1413,96,24,100,18.9,3.6
Apple,PatchTST,1,1.1956,2.2756,96,24,10,19.0,0.9
Apple,PatchTST,2,1.1788,2.2894,96,24,10,19.0,0.6
